location,population_density,gdp_per_capita,life_expectancy,total_cases,total_deaths
France,122.578,38605.671,82.66,23064766.0,139312.0
India,450.419,6426.674,69.66,42962953.0,515036.0
Russia,8.823,24765.954,72.58,16619507.0,348467.0
United Kingdom,272.898,39753.244,81.32,19172095.0,162152.0
Japan,347.778,39002.223,84.63,5341246.0,24816.0
South Korea,527.967,35938.374,83.03,4456264.0,8957.0
Germany,237.016,45229.245,81.33,15830112.0,124107.0
Brazil,25.04,14103.452,75.88,29040800.0,652216.0
Italy,205.859,35220.084,83.51,12990223.0,155782.0
United States,35.608,54225.446,78.86,79265726.0,958437.0
